[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000156s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000375s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000186s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000269s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000080s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000146s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.081480s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081590s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000234s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000173s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000079s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000184s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000889s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000102s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000178s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Run CheckRoute Behavior [ RunTime:0.000147s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Tag[ route_check ] --END-- [ RunTime:0.000317s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000097s ]
[ 2013-01-30T13:49:02+08:00 ] /thinkmao/Admin.php/Login/code | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000136s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Run CheckRoute Behavior [ RunTime:0.000120s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000360s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000060s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.31468988955020905 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Run CheckRoute Behavior [ RunTime:0.000152s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000375s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000146s ]
[ 2013-01-30T13:49:09+08:00 ] /thinkmao/Admin.php/Login/code/0.41140238801017404 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Run CheckRoute Behavior [ RunTime:0.000183s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000403s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000150s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.6499815518036485 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000230s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Tag[ route_check ] --START--
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Run CheckRoute Behavior [ RunTime:0.000158s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000381s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000146s ]
[ 2013-01-30T13:49:10+08:00 ] /thinkmao/Admin.php/Login/code/0.4652410577982664 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
