[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001149s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001324s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000881s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000973s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000871s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000997s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016984s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017113s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000669s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000569s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000393s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001083s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003016s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000765s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000866s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.001373s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.001523s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000920s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001023s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.000768s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.000889s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.022645s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022784s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.000590s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.000492s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000273s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.002330s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003962s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.001567s ]
[ 2013-02-22T00:02:30+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.001692s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.000921s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001054s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001085s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001196s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.012480s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category`  [ RunTime:0.000886s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.010183s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.000513s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000865s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000972s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\thinkmao\Admin\Lib\TagLib\TagLibPic.class.php on line 36 and defined TagLib.class.php 第 111 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: str TagLibPic.class.php 第 69 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\thinkmao\Admin\Lib\TagLib\TagLibPic.class.php on line 36 and defined TagLib.class.php 第 111 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: str TagLibPic.class.php 第 86 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\thinkmao\Admin\Lib\TagLib\TagLibPic.class.php on line 97 and defined TagLib.class.php 第 111 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\wamp\www\thinkmao\Admin\Lib\TagLib\TagLibPic.class.php on line 97 and defined TagLib.class.php 第 111 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000728s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '22' )  [ RunTime:0.000552s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '21' )  [ RunTime:0.000240s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '20' )  [ RunTime:0.000352s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000300s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '19' )  [ RunTime:0.000190s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '121' )  [ RunTime:0.000182s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '130' )  [ RunTime:0.000267s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '18' )  [ RunTime:0.000189s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '105' )  [ RunTime:0.000477s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '106' )  [ RunTime:0.000669s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '107' )  [ RunTime:0.000529s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.000290s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '69' )  [ RunTime:0.000279s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '70' )  [ RunTime:0.000191s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '71' )  [ RunTime:0.000185s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '72' )  [ RunTime:0.000264s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '73' )  [ RunTime:0.000296s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '16' )  [ RunTime:0.000266s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '92' )  [ RunTime:0.000298s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '15' )  [ RunTime:0.000400s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000398s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000305s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.000691s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000540s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000385s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '23' )  [ RunTime:0.000363s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '24' )  [ RunTime:0.000367s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '25' )  [ RunTime:0.000376s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '26' )  [ RunTime:0.000523s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '27' )  [ RunTime:0.000278s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '28' )  [ RunTime:0.000413s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '29' )  [ RunTime:0.000324s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '30' )  [ RunTime:0.000182s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '31' )  [ RunTime:0.000158s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '32' )  [ RunTime:0.000249s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '33' )  [ RunTime:0.000171s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 58 行.
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ParseTemplate Behavior [ RunTime:0.078641s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.078733s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ContentReplace Behavior [ RunTime:0.002460s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run TokenBuild Behavior [ RunTime:0.000593s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000324s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000956s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004639s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_end ] --START--
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000789s ]
[ 2013-02-22T00:02:34+08:00 ] /thinkmao/Admin.php/AddGood/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000891s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Run CheckRoute Behavior [ RunTime:0.000990s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ route_check ] --END-- [ RunTime:0.001153s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001285s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001403s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.012660s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.010202s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SELECT category.id AS cid,category.name AS cname,goods_type.id AS tid,goods_type.name AS tname FROM hd_category category LEFT JOIN hd_goods_type goods_type ON goods_type.id = category.tid  [ RunTime:0.001064s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Run CheckRoute Behavior [ RunTime:0.001393s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ route_check ] --END-- [ RunTime:0.001548s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000990s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001106s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | NOTIC: [8] Undefined index: id AddGoodAction.class.php 第 76 行.
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.011076s ]
[ 2013-02-22T00:02:39+08:00 ] /thinkmao/Admin.php/AddGood/attr | SQL: SELECT * FROM `hd_type_attr` WHERE tid =   [ RunTime:0.000367s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ route_check ] --START--
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Run CheckRoute Behavior [ RunTime:0.001056s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ route_check ] --END-- [ RunTime:0.001207s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ app_begin ] --START--
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000927s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001067s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.020154s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.012580s ]
[ 2013-02-22T00:02:41+08:00 ] /thinkmao/Admin.php/AddGood/type | SQL: SELECT category.id AS cid,category.name AS cname,goods_type.id AS tid,goods_type.name AS tname FROM hd_category category LEFT JOIN hd_goods_type goods_type ON goods_type.id = category.tid  [ RunTime:0.001133s ]
