[ 2013-01-25T17:01:30+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000344s ]
[ 2013-01-25T17:01:30+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_end ] --START--
[ 2013-01-25T17:01:30+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2013-01-25T17:01:30+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000068s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ route_check ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run CheckRoute Behavior [ RunTime:0.000164s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ route_check ] --END-- [ RunTime:0.000397s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ app_begin ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000146s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000452s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | SQL: INSERT INTO `hd_type_attr` (`name`,`value`,`type`,`tid`) VALUES ('品牌','0','0','10') [ RunTime:0.000155s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_template ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run LocationTemplate Behavior [ RunTime:0.000074s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_template ] --END-- [ RunTime:0.000105s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run ParseTemplate Behavior [ RunTime:0.003096s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003185s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_filter ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run ContentReplace Behavior [ RunTime:0.000110s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run TokenBuild Behavior [ RunTime:0.000057s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000351s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_end ] --START--
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2013-01-25T17:01:50+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run CheckRoute Behavior [ RunTime:0.000179s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --END-- [ RunTime:0.000415s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000148s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000227s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.000953s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.000336s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run LocationTemplate Behavior [ RunTime:0.000085s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --END-- [ RunTime:0.000116s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | NOTIC: [8] Undefined variable: page 40f5aa715ed4e8da38f300230f372fb6.php 第 36 行.
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ParseTemplate Behavior [ RunTime:0.003828s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003873s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ContentReplace Behavior [ RunTime:0.000117s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run TokenBuild Behavior [ RunTime:0.000057s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000355s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --START--
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2013-01-25T17:01:51+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_end ] --END-- [ RunTime:0.000068s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ route_check ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run CheckRoute Behavior [ RunTime:0.000160s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000380s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ app_begin ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000145s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_template ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run LocationTemplate Behavior [ RunTime:0.000222s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000312s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ParseTemplate Behavior [ RunTime:0.002295s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002345s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_filter ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ContentReplace Behavior [ RunTime:0.000100s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run TokenBuild Behavior [ RunTime:0.000062s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ShowRuntime Behavior [ RunTime:0.000073s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000348s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_end ] --START--
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2013-01-25T17:01:56+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000066s ]
