[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 57 行.
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '20' )  [ RunTime:0.000246s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | NOTIC: [2] Invalid argument supplied for foreach() fa181b48ee7a9c23a565f2549f633c85.php 第 57 行.
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '14' )  [ RunTime:0.000279s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '19' )  [ RunTime:0.000448s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '121' )  [ RunTime:0.000246s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '130' )  [ RunTime:0.000245s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '18' )  [ RunTime:0.000169s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '105' )  [ RunTime:0.000169s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '106' )  [ RunTime:0.000269s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '107' )  [ RunTime:0.000992s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '17' )  [ RunTime:0.000427s ]
[ 2013-02-21T00:00:30+08:00 ] /thinkmao/Admin.php/AddGood/index | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '69' )  [ RunTime:0.000280s ]
