[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run LocationTemplate Behavior [ RunTime:0.015605s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.015756s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ParseTemplate Behavior [ RunTime:0.192375s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.192521s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ContentReplace Behavior [ RunTime:0.011013s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run TokenBuild Behavior [ RunTime:0.013833s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.010297s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001198s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.036737s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.018644s ]
[ 2013-02-19T00:00:26+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.018812s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run CheckRoute Behavior [ RunTime:0.001736s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001892s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001149s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001274s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.030192s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SELECT * FROM `hd_goods`  [ RunTime:0.000742s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001344s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001479s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ParseTemplate Behavior [ RunTime:0.032366s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032509s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ContentReplace Behavior [ RunTime:0.001644s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run TokenBuild Behavior [ RunTime:0.000964s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000643s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001194s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004831s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001020s ]
[ 2013-02-19T00:00:27+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001145s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001890s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002046s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.007089s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.007237s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.061590s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061719s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.001105s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.001095s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000910s ]
[ 2013-02-19T00:00:49+08:00 ] /thinkmao/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001152s ]
