[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000927s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001034s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.014355s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '10' )  [ RunTime:0.000566s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.014743s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT `aid` FROM `hd_goods_attr` WHERE ( `gid` = '10' ) GROUP BY aid  [ RunTime:0.000891s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '10' )  [ RunTime:0.000715s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.010557s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_type_attr`  [ RunTime:0.000761s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.026556s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | SQL: SELECT * FROM `hd_goods_list` WHERE gid = 10  [ RunTime:0.000496s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run LocationTemplate Behavior [ RunTime:0.000960s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001066s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_parse ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | NOTIC: [8] Use of undefined constant series - assumed 'series' a94f0e6cd701ac01abf0916ee6c05891.php 第 51 行.
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ParseTemplate Behavior [ RunTime:0.026775s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.026883s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_filter ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ContentReplace Behavior [ RunTime:0.000911s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run TokenBuild Behavior [ RunTime:0.000577s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000325s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ShowRuntime Behavior [ RunTime:0.000728s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002812s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_end ] --START--
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000625s ]
[ 2013-02-27T21:07:21+08:00 ] /thinkmao/Admin.php/InventoryGood/invent?id=10 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000731s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ route_check ] --START--
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Run CheckRoute Behavior [ RunTime:0.001085s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001224s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001234s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001391s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.015367s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_goods` LIMIT 1   [ RunTime:0.000524s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT `id` FROM `hd_goods` LIMIT 0,10   [ RunTime:0.000414s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.017088s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.010743s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.008183s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.015705s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.026883s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '10' )  [ RunTime:0.003873s ]
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 109 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 108 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 107 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 106 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 105 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 104 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 103 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 102 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 101 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 100 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 99 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 98 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 97 common.php 第 272 行.
[ 2013-02-27T21:07:26+08:00 ] /thinkmao/Admin.php/InventoryGood/index | NOTIC: [8] Undefined index: 96 common.php 第 272 行.
