[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000094s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000118s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000082s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000093s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000097s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000106s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000096s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000685s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000180s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (11,10,12,13,14,15,16,17,18,19,20,21,23,24,25)  [ RunTime:0.000162s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000103s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,24)  [ RunTime:0.000098s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000098s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,18,22,26)  [ RunTime:0.000099s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000097s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (14,16,19,20,26)  [ RunTime:0.000102s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000094s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (19)  [ RunTime:0.000081s ]
[ 2013-02-01T15:13:47+08:00 ] /thinkmao/Index.php/Select/index/aid/22/num/3 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000103s ]
