[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000099s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000172s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000104s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000089s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000108s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000093s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000111s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000096s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000089s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000085s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000652s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000118s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (11,10,12,13,14,15,16,17,18,19,20,21,23,24,25)  [ RunTime:0.000182s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000147s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,24)  [ RunTime:0.000097s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000086s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (15,18,22,26)  [ RunTime:0.000083s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000084s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id` FROM `hd_goods` WHERE id in (14,16,19,20,26)  [ RunTime:0.000103s ]
[ 2013-02-01T12:32:39+08:00 ] /thinkmao/Index.php/Select/index/aid/13/num/1 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000124s ]
