[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000091s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000083s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000081s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000072s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000085s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000083s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000084s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000083s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000073s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000743s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000158s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000056s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000115s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000047s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000083s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000044s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000104s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000044s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000044s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000068s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in (11,10,12,13) and hot = 1  [ RunTime:0.000139s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000080s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000059s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 55 行.
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000082s ]
[ 2013-01-29T22:22:02+08:00 ] /thinkmao/Index.php/Index/test | SQL: SELECT `id` FROM `hd_goods` WHERE id in () and hot = 1  [ RunTime:0.000045s ]
