[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.094020s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_template ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000032s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.101448s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.022144s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.095476s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000235s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000030s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000008s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.116932s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 120 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 121 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 122 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_end ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000015s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.117095s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_template ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000042s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.124527s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_parse ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.003465s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.118563s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_filter ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000061s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000029s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000007s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000048s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.121325s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 120 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 121 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /var/www/html/thinkmao/ThinkPHP/Lib/Core/View.class.php:124) View.class.php 第 122 行.
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_end ] --START--
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000013s ]
[ 2013-01-29T11:29:21+08:00 ] /thinkmao/Index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:-0.121165s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Tag[ route_check ] --START--
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Run CheckRoute Behavior [ RunTime:0.000101s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000205s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Tag[ app_begin ] --START--
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000069s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000097s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000514s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SELECT `id`,`inventory`,`attr` FROM `hd_goods_list` WHERE ( `gid` = '10' )  [ RunTime:0.000274s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000780s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000475s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000363s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000380s ]
[ 2013-01-29T11:31:19+08:00 ] /thinkmao/Index.php/Good?gid=10 | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000406s ]
