[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 123 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 124 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 125 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 126 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 127 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 128 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 129 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 130 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 131 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 132 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 133 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 134 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 135 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 136 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 137 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 138 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 139 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 140 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 141 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 142 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 143 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 144 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 145 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 146 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 147 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 144 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 145 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 146 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 147 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 144, 147)  [ RunTime:0.000332s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000135s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000165s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ParseTemplate Behavior [ RunTime:0.017250s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017299s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ContentReplace Behavior [ RunTime:0.000170s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run TokenBuild Behavior [ RunTime:0.000058s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000089s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000429s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000040s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run CheckRoute Behavior [ RunTime:0.000067s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000174s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000058s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000084s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000702s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000397s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000369s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000352s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000373s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000395s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SELECT goods.sell_num AS sell_num,goods.id AS gid,goods.name AS gname,goods.unit AS unit,goods.number AS number,goods.price AS price,goods.pic AS pic,goods.click AS click,goods.recommend AS recommend,goods.hot AS hot,goods.time AS time,goods.cid AS cid,goods.bid AS bid,goods.tid AS tid,goods.mprice AS mprice,goods_attr.id AS attrid,goods_attr.value AS value,goods_attr.price AS attr_price,type_attr.id AS attr_id,type_attr.name AS attr_name,type_attr.type AS type,brand.name AS brand_name,brand.logo AS logo,brand.hot AS hot_brand,goods_intro.mini AS mini,goods_intro.medium AS medium,goods_intro.max AS max,goods_intro.intro AS intro,goods_intro.service AS service,goods_list.id AS in_id,goods_list.inventory AS inventory,goods_list.attr AS attr_com,goods_list.number AS in_number,goods_list.series AS series,goods_list.price AS in_price FROM hd_goods goods LEFT JOIN hd_goods_attr goods_attr ON goods_attr.gid =goods.id LEFT JOIN hd_type_attr type_attr ON goods_attr.aid = type_attr.id  JOIN hd_brand brand ON goods.bid = brand.id  JOIN hd_goods_intro goods_intro ON goods.id = goods_intro.gid  JOIN hd_goods_list goods_list ON goods.id = goods_list.gid WHERE ( goods.id = '11' )  [ RunTime:0.002333s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 121 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 122 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 123 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 124 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 125 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 126 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 127 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 128 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 129 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 130 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 131 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 132 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 133 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 134 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 135 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 136 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 137 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 138 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 139 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 140 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 141 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 142 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 143 common.php 第 146 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 144 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 145 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 146 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 147 common.php 第 155 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 144 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 145 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 146 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined offset: 147 common.php 第 230 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 144, 147)  [ RunTime:0.000321s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000129s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000161s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016988s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017032s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ContentReplace Behavior [ RunTime:0.000168s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run TokenBuild Behavior [ RunTime:0.000058s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000090s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000430s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --START--
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000044s ]
[ 2013-01-30T11:39:46+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000074s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run CheckRoute Behavior [ RunTime:0.000067s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000169s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000055s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000071s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000102s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018552s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018599s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ContentReplace Behavior [ RunTime:0.000154s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run TokenBuild Behavior [ RunTime:0.000058s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000048s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000082s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000423s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --START--
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000041s ]
[ 2013-01-30T11:39:48+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000071s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run CheckRoute Behavior [ RunTime:0.000127s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000250s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000066s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000091s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000067s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000100s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ParseTemplate Behavior [ RunTime:0.017880s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017927s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ContentReplace Behavior [ RunTime:0.000185s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run TokenBuild Behavior [ RunTime:0.000063s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000037s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000088s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000455s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --START--
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000050s ]
[ 2013-01-30T11:39:55+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000081s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --START--
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run CheckRoute Behavior [ RunTime:0.000132s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000269s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000073s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000101s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --START--
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000062s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000094s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | NOTIC: [8] Undefined index: unit c63db93b06b43bc7bcfefc81fe69b7a1.php 第 220 行.
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ParseTemplate Behavior [ RunTime:0.017579s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017626s ]
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-30T11:39:56+08:00 ] /thinkmao/Index.php/Cart/index | INFO: Run ContentReplace Behavior [ RunTime:0.000187s ]
