[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000104s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000097s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000095s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000081s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000098s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000095s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000094s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000096s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000100s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000100s ]
[ 2013-02-02T00:15:13+08:00 ] /thinkmao/Index.php/List/index?cid=15&p=2 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000096s ]
